id,Route Designator,Route Usage Notes
1, A224,(1) H24
2, A457,(1) H24
3, A464,(1) H24
4, A576,(1) H24
5, B338,(1) H24
6, B466,(1) H24
7, B469,(1) H24
8, B470,(1) H24
9, G219,(1) H24
10, G334,(1) H24
11, G579,(1) H24
12, G580,(1) H24
13, R208,(1) H24
14, R325,(1) H24
15, R469,(1) H24
16, W401,(1) H24
17, W407,(1) H24
18, W534,(1) H24
19, W651,(1) H24
