segmant id,start,end,Track MAG down,Track MAG up,Dist NM,Upper limit,Lower limit,MNM FT ALT,Lateral limits NM,FL down,FL up,Remarks
45,55,56,346°,-,18.4NM,FL 460,2000 FT ALT,5000 FT,,,Even,"[Class A –ABV FL150
Class B –BLW FL150]"
46,57,58,079°,259°,33.7NM,FL 460,2000 FT ALT,3000 FT,10 NM,Odd,Even,"[Class A –ABV FL150
Class B –BLW FL150]"
47,58,59,088°,268°,83.1NM,FL 460,6500 FT ALT,7000 FT,,Odd,Even,[Class A]
48,59,60,088°,268°,58.3NM,FL 460,6500 FT ALT,7000 FT,,Odd,Even,[Class A]
49,60,61,088°,268°,74.0NM,FL 460,6500 FT ALT,7000 FT,,Odd,Even,[Class A]
50,61,62,088°,268°,30.6NM,FL 460,6500 FT ALT,7000 FT,,Odd,Even,[Class A]
51,63,64,197°,017°,73.9NM,FL 460,FL 240,FL 250,20,Odd,Even,[Class A]
52,65,66,319°,139°,52.9NM,FL 460,5500 FT ALT,6000 FT,8,Odd,Even,"[Class A – ABV FL150
Class B – BLW FL150]"
53,67,68,071°,251°,56.7NM,FL 460,9500 FT ALT,10000 FT,8,Odd,Even,"[Class A – ABV FL150
Class B – BLW FL150]"
54,68,69,082°,262°,20.2NM,FL 460,5500 FT ALT,6000 FT,8,Odd,Even,"[Class A – ABV FL150
Class B – BLW FL150]"
55,69,70,082°,262°,23.2NM,FL 460,5500 FT ALT,6000 FT,8,Odd,Even,"[Class A – ABV FL150
Class B – BLW FL150]"
56,71,72,294°,114°,27.4NM,FL 245,2000 FT ALT,7000 FT,5,Even,Odd,"[Class A – ABV FL150
Class B – BLW FL150]"
57,72,73,265°,085°,9.7NM,FL 245,2000 FT ALT,3000 FT,3,Even,Odd,"[Class A – ABV FL150
Class B – BLW FL150]"
58,73,74,265°,085°,7.0NM,FL 245,3000 FT ALT,6000 FT,3,Even,Odd,"[Class A – ABV FL150
Class B – BLW FL150]"
59,74,75,262°,082°,18.1NM,FL 245,3000 FT ALT,6000 FT,3,Even,Odd,"[Class A – ABV FL150
Class B – BLW FL150]"
60,75,76,261°,081°,4.8NM,FL 245,3000 FT ALT,6000 FT,3,Even,Odd,"[Class A – ABV FL150
Class B – BLW FL150]"
61,77,78,203°,023°,21.0NM,FL 250,3000 FT ALT,4000 FT,3,Even,Odd,"[Class A – ABV FL150
Class B – BLW FL150]"
62,79,80,275°,095°,46.5NM,FL 460,4500 FT ALT,5000 FT,8,Odd,,"[Class A – ABV FL150
Class B – BLW FL150]"
63,81,82,294°,114°,21.4NM,FL 200,2500 FT ALT,3000 FT,3,Odd,Even,"[Class A – ABV FL150
Class B – BLW FL150]"
