Id,Name code designator,Latitude,Longitude,ATS route or other route,Terminal Area
123,MABAL,3.474,105.21,"M758, N892","HLDG ID, STAR-WSSS"
124,MABLI,4.288,106.213,"L635, L644, N892",
125,MANIM,3.242,104.098,N891,
126,MASBO,2.047,102.881,A457,SID-WSSS
127,MASNI,1.344,103.629,A464,
128,MELAS,7.089,108.153,N892,
129,MESOG,2.018,103.211,B466,
130,MIBEL,1.398,102.138,L762,
131,MUMSO,3.739,105.537,"N875, N892",
132,NIMIX,1.414,107.991,"G580, N875",
133,NIVAM,2.614,104.041,G219,
134,NODIN,8.183,116.195,M522,
135,NOPAT,4.387,104.799,"L629, N875",
136,NUFFA,2.895,103.642,Y514,
137,NYLON,1.616,104.107,,"HLDG ID, IAC-WSSS, SID-WSSS, STAR-WSSS"
138,OBDAB,3.198,104.094,N891,
139,OBDOS,0.418,106.931,"L504, M774",STAR-WSSS
140,OBGET,1.385,106.759,"G580, L644",
141,OBLOT,1.716,106.696,"L644, M646",
142,ODONO,6.604,103.025,M904,
143,OLKIT,4.836,111.855,M758,
144,OLSAM,2.016,106.64,L644,
145,OMBAP,2.521,106.545,L644,
146,OMLIV,2.92,106.47,L644,
147,ONAPO,3.354,106.388,L644,
148,OPULA,3.532,106.355,L644,
149,OTLON,3.131,104.335,"M761, M771",
150,PADLI,3.155,103.526,"B469, Y332, Y333, Y334, Y335, Y336",
151,PALGA,1.183,103.8,,STAR-WSSS
152,PAMSI,1.083,103.813,,STAR-WSSS
153,PARDI,0.567,-104.217,"G579, N502",
154,PASPU,1.988,104.105,,"STAR-WSSS,"
155,PEKLA,2.577,104.105,N892,
156,PIBAP,2.506,104.105,,STAR-WSSS
157,PIMOK,1.447,103.336,"A576, W401",
158,POSUB,1.457,104.13,,"STAR-WSSS,"
159,RAXIM,3.055,104.287,M771,
160,REDUK,2.333,103.083,R325,
161,REKOP,1.552,103.089,A576,
162,REMES,0.728,103.96,G579,"HLDG ID, STAR-WSSS"
