id,ATS id,Segment id
1,1,1
2,2,2
3,3,3
4,3,4
5,3,5
6,4,6
7,4,7
8,4,8
9,4,9
10,5,10
11,5,11
12,5,12
13,5,13
14,5,14
15,6,15
16,6,16
17,6,17
18,6,18
19,6,19
20,7,20
21,7,21
22,7,22
23,7,23
24,7,24
25,7,25
26,7,26
27,7,27
28,7,28
29,8,29
30,8,30
31,9,31
32,10,32
33,11,33
34,11,34
35,12,35
36,12,36
37,12,37
38,13,38
39,13,39
40,13,40
41,13,41
42,14,42
43,15,43
44,16,44
45,16,45
46,16,46
47,16,47
48,16,48
49,16,49
50,16,50
51,16,51
52,17,52
53,17,53
54,17,54
55,17,55
56,17,56
57,17,57
58,17,58
59,18,59
60,18,60
61,19,61
62,20,62
63,20,63
64,20,64
65,20,65
66,21,66
67,21,67
68,21,68
69,22,69
70,22,70
71,22,71
72,22,72
73,22,73
74,22,74
75,22,75
76,23,76
77,23,77
78,24,78
79,24,79
80,25,80
81,25,81
82,25,82
83,26,83
84,27,84
85,27,85
86,27,86
87,27,87
88,27,88
89,27,89
90,27,90
91,27,91
92,27,92
93,27,93
94,28,94
95,28,95
96,28,96
97,28,97
98,28,98
99,28,99
100,29,100
101,29,101
102,29,102
103,29,103
104,29,104
105,29,105
106,29,106
107,30,107
108,30,108
109,30,109
110,30,110
111,30,111
112,30,112
113,30,113
114,31,114
115,31,115
116,31,116
117,32,117
118,33,118
119,33,119
120,34,120
121,34,121
122,34,122
123,35,123
124,35,124
125,36,125
126,37,126
127,38,127
128,39,128
129,40,129
130,41,130
131,42,131
132,43,132
133,44,133
